%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   235.876     46.5409    235.93732     46.54362     0      0.02679      0.04024      0.01334         9.07         3.64 3A     4  2016
   235.875     46.5458    235.93689     46.54809     0      0.01838      0.02543      0.01133         6.45         3.14 3A     4  2016
   235.875     46.5506    235.93641     46.55703     0      0.02407      0.03097      0.01717         8.53         3.66 3A     4  2016
   235.874     46.5554    235.93585     46.56151     0      0.02595      0.03043      0.02148         8.81         3.39 3A     4  2016
   235.873     46.5602    235.93523     46.56595     0      0.02172      0.02965      0.01379         6.74         3.13 3A     4  2016
   235.871     46.5649    235.93437     46.57491     0      0.02413      0.03382      0.01443         8.24         3.15 3A     4  2016
   235.870     46.5695    235.93397     46.57939     0      0.02873      0.03598      0.02148         8.33         3.20 3A     4  2016
   235.869     46.5742    235.93330     46.58386     0      0.02795      0.03229      0.02361         8.24         3.39 3A     4  2016
   235.866     46.5786    235.93226     46.59281     0      0.02495      0.03039      0.01952         8.11         3.03 3A     4  2016
   235.862     46.5873    235.93117     46.60176     0      0.02859      0.03360      0.02358         5.58         2.83 3A     4  2016
   235.860     46.5916    235.92987     46.61070     0      0.02866      0.03297      0.02436         7.99         3.17 3A     4  2016
   235.857     46.5958    235.92934     46.61517     0      0.02834      0.03450      0.02217         8.71         3.27 3A     4  2016
   235.851     46.6089    235.92838     46.62413     0      0.02670      0.03159      0.02181         6.82         3.04 3A     4  2016
   235.848     46.6132    235.92765     46.63309     0      0.02606      0.03577      0.01635         4.86         2.66 3A     4  2016
