%USGS SPCMSC mean beach slope derived from lidar surveys from 2000-2013, dunes from 2010 and 2013 in LMSL, Version 1.1 Compiled 3/29/17 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
289.776 42.0683 289.771 42.0773 0.0461 0.0788 0.0133 10.5559 4.6742 11 2013
289.774 42.0630 289.767 42.0751 0.0529 0.0879 0.0179 10.7437 4.7658 11 2013
289.774 42.0576 289.764 42.0736 0.0545 0.1119 0.0010 10.4533 4.7346 11 2013
289.775 42.0522 289.755 42.0629 0.1060 0.1663 0.0457 5.7717 3.0278 11 2013
289.674 41.7920 289.600 41.7412 0.0673 0.0960 0.0387 11.5302 4.4885 11 2013
289.665 41.7898 289.611 41.7399 0.0735 0.1327 0.0144 9.0769 4.0766 11 2013
289.597 41.7868 289.616 41.7392 0.0663 0.1248 0.0077 7.5485 3.7121 11 2013
289.589 41.7890 289.621 41.7388 0.0641 0.0962 0.0319 6.6490 3.6997 11 2013
289.555 41.8093 289.466 41.8404 0.0857 0.1355 0.0359 4.8098 3.1842 11 2013
289.549 41.8149 289.462 41.8349 0.1186 0.2116 0.0257 17.6904 4.5835 11 2013
289.529 41.8411 289.456 41.8285 0.1368 0.1992 0.0744 35.8679 3.9533 11 2013
289.524 41.8482 289.458 41.8328 0.1403 0.2687 0.0119 24.1785 4.3890 11 2013
289.520 41.8554 289.463 41.8380 0.0892 0.1603 0.0180 9.9349 4.1397 11 2013
289.516 41.8628 289.468 41.8437 0.1028 0.1599 0.0456 6.7812 3.2732 11 2013
289.512 41.8703 289.471 41.8511 0.1648 0.3982 0.0010 6.6198 3.6521 11 2013
289.508 41.8778 289.472 41.8604 0.1702 0.2947 0.0457 10.6827 4.4034 11 2013
289.504 41.8854 289.468 41.8673 0.1647 0.3175 0.0118 9.5294 3.9787 11 2013
289.500 41.8931 289.467 41.8752 0.2549 0.4242 0.0855 16.6378 5.2639 11 2013
289.496 41.9007 289.466 41.8833 0.3034 0.5538 0.0531 37.0509 7.6766 11 2013
289.492 41.9082 289.467 41.8907 0.1888 0.2972 0.0805 14.5802 4.3990 11 2013
289.488 41.9157 289.458 41.8997 0.1273 0.2098 0.0449 15.5598 4.4726 11 2013
289.483 41.9229 289.453 41.9071 0.1770 0.3496 0.0044 20.0168 4.8380 11 2013
289.478 41.9300 289.452 41.9148 0.1981 0.3865 0.0098 25.3670 4.4355 11 2013
289.473 41.9370 289.453 41.9265 0.0628 0.1146 0.0111 6.5399 3.7409 11 2013
289.467 41.9439 289.444 41.9304 0.0568 0.0877 0.0259 5.9662 3.1669 11 2013
289.462 41.9506 289.436 41.9352 0.1026 0.1655 0.0397 10.4974 3.5351 11 2013
289.456 41.9574 289.428 41.9419 0.1838 0.2357 0.1319 10.3065 2.9532 11 2013
289.450 41.9642 289.419 41.9476 0.1619 0.2152 0.1086 10.6526 3.4509 11 2013
289.445 41.9710 289.404 41.9478 0.2015 0.2359 0.1672 19.0707 3.1933 11 2013
289.440 41.9780 289.375 41.9438 0.0880 0.1528 0.0232 4.1395 2.5789 11 2013
289.435 41.9852 289.368 41.9509 0.0723 0.1237 0.0209 3.8989 2.6239 11 2013
289.431 41.9925 289.362 41.9586 0.0885 0.1455 0.0315 3.7965 2.9475 11 2013
289.427 42.0001 289.357 41.9664 0.0640 0.1125 0.0155 4.8416 3.2486 11 2013
289.424 42.0078 289.355 41.9704 0.0443 0.0714 0.0172 5.1124 3.3154 11 2013
289.421 42.0156 289.397 42.0032 0.1122 0.1815 0.0430 4.4873 2.7868 11 2013
289.419 42.0235 289.389 42.0083 0.0913 0.1479 0.0348 4.2813 2.8880 11 2013
289.417 42.0314 289.388 42.0157 0.0917 0.1330 0.0504 5.2558 3.5723 11 2013
289.415 42.0392 289.381 42.0231 0.0882 0.1336 0.0427 4.9899 3.4169 11 2013
289.414 42.0469 289.374 42.0301 0.0597 0.0810 0.0383 4.8859 3.3687 11 2013
289.412 42.0546 289.370 42.0334 0.0569 0.0725 0.0413 4.9307 3.5573 11 2013
289.410 42.0620 289.363 42.0408 0.0587 0.0786 0.0388 5.1654 3.4812 11 2013
289.408 42.0694 289.360 42.0445 0.0636 0.0824 0.0448 5.2389 3.4287 11 2013
289.406 42.0766 289.355 42.0526 0.0674 0.0845 0.0502 5.1410 3.4115 11 2013
289.403 42.0837 289.352 42.0611 0.0906 0.1706 0.0106 4.8431 3.1034 11 2013
289.401 42.0906 289.351 42.0696 0.1254 0.2436 0.0071 4.9502 2.8301 11 2013
289.398 42.0973 289.359 42.0804 0.0874 0.1372 0.0377 4.9306 3.3808 11 2013
289.395 42.1037 289.359 42.0882 0.1096 0.1642 0.0549 4.3082 3.1858 11 2013
289.391 42.1099 289.356 42.0918 0.1802 0.3043 0.0560 4.9663 3.5745 11 2013
289.387 42.1157 289.348 42.0983 0.2035 0.2702 0.1369 6.3477 4.2824 11 2013
289.384 42.1211 289.343 42.1014 0.1086 0.1636 0.0537 4.7206 2.7819 11 2013
289.379 42.1263 289.339 42.1046 0.1049 0.1682 0.0417 4.7042 2.5872 11 2013
289.375 42.1311 289.332 42.1119 0.0940 0.1435 0.0446 5.0318 2.8606 11 2013
289.371 42.1357 289.329 42.1158 0.0945 0.1500 0.0390 5.1976 2.9330 11 2013
289.367 42.1401 289.326 42.1193 0.0824 0.1345 0.0302 5.6878 3.3026 11 2013
289.363 42.1443 289.323 42.1224 0.0655 0.0903 0.0407 6.5895 3.7601 11 2013
289.360 42.1485 289.319 42.1260 0.0625 0.0862 0.0388 6.9327 4.0481 11 2013
289.358 42.1526 289.316 42.1298 0.0603 0.0832 0.0374 6.5357 4.1976 11 2013
289.355 42.1569 289.313 42.1336 0.0634 0.0922 0.0346 5.7826 4.0212 11 2013
289.353 42.1659 289.311 42.1376 0.0727 0.1034 0.0420 4.8938 3.5966 11 2013
289.353 42.1708 289.308 42.1416 0.0818 0.1079 0.0557 4.5862 3.2765 11 2013
289.353 42.1760 289.305 42.1455 0.0856 0.1081 0.0631 4.5627 3.0906 11 2013
289.353 42.1871 289.303 42.1494 0.0817 0.1131 0.0503 4.4830 2.9186 11 2013
289.353 42.1927 289.300 42.1532 0.0801 0.1250 0.0352 4.2753 2.6368 11 2013
