%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1522
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   236.977     37.9896    236.97704     37.99481     0      0.09574      0.09574      0.09574        23.54         0.78 1A 0.78     4  2016
   236.981     37.9887    236.97922     37.99534     2      3.51622          NaN          NaN        58.71        -0.00 1A 0.71     4  2016
   236.986     37.9884    236.98234     37.99444     0      0.10234      0.10234      0.10234        20.93         2.79 1A 1.00     4  2016
   236.991     37.9880    236.98820     37.99567     2      4.32555          NaN          NaN        17.16        -0.00 1A 0.68     4  2016
   236.996     37.9873    236.99512     37.99355     0      0.14155      0.14843      0.13466        11.58         1.74 1A 1.00     4  2016
   237.001     37.9866    237.00018     37.99389     0      0.13137      0.14959      0.11315        29.63         2.15 1A 1.00     4  2016
   237.006     37.9859    237.01026     37.99435     0      0.12085      0.17752      0.06417        19.50         4.24 6A 1.00     4  2016
   237.011     37.9851    237.02250     37.99281     0      0.14539      0.19677      0.09401        14.63         1.58 6A 1.00     4  2016
   237.016     37.9836    237.02591     37.99266     0      0.12424      0.18353      0.06494        26.58         2.85 2A 1.00     4  2016
   237.020     37.9817    237.02710     37.99172     0      0.11194      0.26879      0.00000        23.15         4.01 1A 1.00     4  2016
   237.025     37.9801    237.02809     37.99022     0      0.13539      0.18680      0.08398        19.37         2.86 2A 1.00     4  2016
   237.030     37.9789    237.03031     37.99056     0      0.13786      0.23291      0.04281        16.45         1.56 2A 1.00     4  2016
   237.035     37.9791    237.03245     37.99040     0      0.12868      0.20902      0.04834        33.86         3.14  5 1.00     4  2016
   237.039     37.9798    237.03348     37.99007     0      0.10257      0.17771      0.02744        16.99         3.70 2A 1.00     4  2016
   237.052     37.9871    237.01594     38.00317     0      0.15384      0.20835      0.09933        26.53         2.54  5 1.00     4  2016
   237.055     37.9912    237.01976     38.01160     0      0.09567      0.15713      0.03421        17.47         3.55  5 1.00     4  2016
   237.056     37.9959    237.02491     38.01755     0      0.04376      0.05224      0.03527        29.88         1.98 3A 1.00     4  2016
   237.058     38.0006    237.03026     38.02211     0      0.05263      0.08582      0.01944        29.15         3.10 3A 1.00     4  2016
   237.060     38.0049    237.03655     38.02587     0      0.04887      0.07272      0.02503        28.13         1.82 3A 1.00     4  2016
   237.064     38.0081    237.04328     38.02876     0      0.06843      0.09991      0.03695        19.36         2.03 3A 1.00     4  2016
   237.068     38.0099    237.05082     38.03080     0      0.03077      0.06265      0.00000         4.38         1.54 3A 1.00     4  2016
   237.073     38.0104    237.05882     38.03101     0      0.03629      0.06988      0.00270        29.56         3.63 2A 1.00     4  2016
   237.078     38.0104    237.08073     38.02861     0      0.04650      0.05017      0.04282         0.93         0.59 3A 1.00     4  2016
   237.083     38.0102    237.09127     38.03080     0      0.04815      0.10399      0.00000         1.01         0.62 3A 1.00     4  2016
   237.088     38.0099    237.09880     38.02776     0      0.02419      0.03409      0.01429         5.82         2.24 3A 1.00     4  2016
   237.093     38.0097    237.10450     38.02714     0      0.02745      0.04842      0.00648         6.50         1.57 3A 1.00     4  2016
   237.098     38.0094    237.10335     38.02730     0      0.03027      0.05314      0.00740         7.84         2.47 3A 1.00     4  2016
   237.103     38.0090    237.10787     38.02667     0      0.03255      0.04486      0.02025         5.90         1.85 3A 1.00     4  2016
   237.108     38.0090    237.11230     38.02597     0      0.03233      0.04254      0.02212         6.45         1.50 3A 1.00     4  2016
   237.113     38.0093    237.11787     38.02486     0      0.04026      0.06601      0.01452         6.55         2.73 3A 1.00     4  2016
   237.117     38.0099    237.12307     38.02356     0      0.04847      0.07377      0.02316         6.36         3.00 3A 1.00     4  2016
   237.122     38.0105    237.12840     38.02207     0      0.08073      0.16612      0.00000         6.66         2.44 3A 1.00     4  2016
   237.127     38.0105    237.13263     38.02070     0      0.08144      0.11143      0.05144        11.86         2.73 3A 1.00     4  2016
   237.132     38.0098    237.13781     38.01886     0      0.13192      0.19198      0.07186        18.57         6.02 3A 1.00     4  2016
   237.137     38.0088    237.14277     38.01667     0      0.05200      0.09928      0.00473        11.56         3.58 3A 1.00     4  2016
   237.142     38.0070    237.14742     38.01423     0      0.08663      0.11525      0.05801         8.02         4.50 3A 1.00     4  2016
   237.146     38.0048    237.15208     38.01171     0      0.08536      0.12353      0.04719        23.72         4.56  4 1.00     4  2016
